Species  ,Area  ,OFL 2021 ,ABC 2021 ,TAC 2021 ,Nov 6 Catch ,OFL 2022 ,ABC 2022 ,OFL 2023 ,ABC 2023 
Pollock,State GHL,n/a,2643,n/a,,n/a,3327,n/a,3298
Pollock,W (610),n/a,18477,18477,18112,n/a,23720,n/a,23511
Pollock,C (620),n/a,54870,54870,52432,n/a,69259,n/a,68651
Pollock,C (630),n/a,24320,24320,23079,n/a,30053,n/a,29789
Pollock,WYAK,n/a,5412,5412,5145,n/a,6722,n/a,6663
Pollock,Subtotal,123455,105722,103079,98768,154983,133081,153097,131912
Pollock,EYAK/SEO,13531,10148,10148,1,15150,11363,15150,11363
Pollock,Total,136986,115870,113227,98769,170133,144444,168247,143275
Pacific Cod,W,n/a,7986,5590,3792,n/a,7285,n/a,6933
Pacific Cod,C,n/a,13656,10242,8258,n/a,14474,n/a,13775
Pacific Cod,E,n/a,1985,1489,222,n/a,2284,n/a,2174
Pacific Cod,Total,28977,23627,1733,12272,29131,24043,27715,22882
Sablefish,W,n/a,3224,2428,1763,n/a,3727,n/a,3951
Sablefish,C,n/a,9527,8056,6551,n/a,9965,n/a,9495
Sablefish,WYAK,n/a,3451,2929,2188,n/a,3437,n/a,3159
Sablefish,SEO,n/a,5273,4579,3613,n/a,5665,n/a,5398
Sablefish,Total,n/a,21475,17992,14115,n/a,22794,n/a,22003
Alaska-wide OFL and ABC2,AK Total,60426,29588,n/a,,40432,34521,42520,36318
Shallow-water Flatfish,W,n/a,24151,13250,26,n/a,21256,n/a,22464
Shallow-water Flatfish,C,n/a,28082,28082,1654,n/a,25305,n/a,26743
Shallow-water Flatfish,WYAK,n/a,2808,2808,1,n/a,2531,n/a,2674
Shallow-water Flatfish,EYAK/SEO,n/a,1123,1123,1,n/a,1518,n/a,1605
Shallow-water Flatfish,Total,68841,56164,45263,1682,62273,50610,65676,53486
Deep-water Flatfish,W,n/a,225,225,1,n/a,256,n/a,256
Deep-water Flatfish,C,n/a,1914,1914,79,n/a,2139,n/a,2105
Deep-water Flatfish,WYAK,n/a,2068,2068,5,n/a,1431,n/a,1408
Deep-water Flatfish,EYAK/SEO,n/a,1719,1719,4,n/a,2082,n/a,2049
Deep-water Flatfish,Total,7040,5926,5926,89,7026,5908,6920,5818
Rex Sole,W,n/a,3013,3013,14,n/a,2981,n/a,3222
